Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
d2ece9e9-3907-440d-b5c3-5d3b148594f5,,,QUEUE SERVICE,,,,,,A convenience set that groups together a number of data elements about a particular patient queue service.,,,Convset,N/A,,
0026e273-5f8c-46b5-8bb4-0d8301d50321,,,MATERNAL CHILD HEALTH CLINICAL CONSULTATION,,,MCH CLINICAL CONSULTATION,,,Services for MCH clinical consultation.,,,Misc,N/A,,
7e4452bf-f9b7-4977-a21f-1c8b94831bac,,,MATERNAL CHILD HEALTH TRIAGE SERVICE,,,MCH TRIAGE SERVICE,,,Services at the MCH triage,,,Misc,N/A,,
d125d797-3c23-4856-8fc9-5482c16352ee,,,VIRAL LOAD CONSTRUCT,,,VL CONSTRUCT,,,Labset to collect viral load questions.,,,labset,N/A,,
c00a4436-a719-4b55-b3ae-7c22165d4ac2,,,MATERNITY TRIAGE SERVICE,,,MATERNITY SERVICE,,,Service for Maternity,,,Misc,N/A,,
42740522-d367-4d98-ac14-2f71c3848c94,,,DIALYSIS TRIAGE SERVICE,,,DIALYSIS TRIAGE SERVICE,,,Service for Dialysis Triage,,,Misc,N/A,,
580a9861-810f-4bd7-b5ed-dd3f1547d9d4,,,DIALYSIS CONSULTATION SERVICE,,,DIALYSIS CONSULTATION SERVICE,,,Service for Dialysis Consultation,,,Misc,N/A,,
863b9dee-6580-41fc-a891-74146a6dca47,,,ONCOLOGY TRIAGE SERVICE,,,ONCOLOGY TRIAGE SERVICE,,,Service for Dailysis Triage,,,Misc,N/A,,
0e883ef1-91ad-4d6d-81f3-cfa19f3164f8,,,ONCOLOGY CONSULTATION SERVICE,,,ONCOLOGY CONSULTATION SERVICE,,,Service for Oncology Consultation,,,Misc,N/A,,
da0f8512-736e-4b57-8a08-97e0e316669c,,,DENTAL TRIAGE SERVICE,,,DENTAL TRIAGE SERVICE,,,,,,Misc,N/A,,
7b504b4f-f36d-4437-ba12-fc41a8a468e5,,,DENTAL CONSULTATION SERVICE,,,DENTAL CONSULTATION SERVICE,,,,,,Misc,N/A,,
42f094b8-3898-4103-95c3-1b96b3bf17ae,,,DIAGNOSTIC AND IMAGING TRIAGE SERVICE,,,DIAGNOSTIC AND IMAGING TRIAGE SERVICE,,,,,,Misc,N/A,,
ae066325-6fb2-4cf4-9652-75757f0c278f,,,DIAGNOSTIC AND IMAGING CONSULTATION SERVICE,,,DIAGNOSTIC AND IMAGING CONSULTATION SERVICE,,,,,,Misc,N/A,,
e6396560-f3b1-45e4-8dbf-fd41e2127bda,,,OPTHALMOLOGY TRIAGE SERVICE,,,OPTHALMOLOGY TRIAGE SERVICE,,,,,,Misc,N/A,,
d757a3fd-fc8f-44be-bcc7-9546913e976c,,,OPTHALMOLOGY CONSULTATION SERVICE,,,OPTHALMOLOGY CONSULTATION SERVICE,,,,,,Misc,N/A,,
af2ddf7a-f6ba-431f-a2cb-53c2e69258ae,,,PSYCHIATRY TRIAGE SERVICE,,,PSYCHIATRY TRIAGE SERVICE,,,,,,Misc,N/A,,
5c1d5b4b-e526-4973-9461-f8e3920f184e,,,PSYCHIATRY CONSULTATION SERVICE,,,PSYCHIATRY CONSULTATION SERVICE,,,,,,Misc,N/A,,
df7038f9-9b5d-4544-9f98-be78fba59f99,,,CRITICAL CARE UNIT TRIAGE SERVICE,,,CRITICAL CARE UNIT TRIAGE SERVICE,,,,,,Misc,N/A,,
65bb7dc2-e289-4a37-99dd-cbdae293a7ba,,,CRITICAL CARE UNIT CONSULTATION SERVICE,,,CRITICAL CARE UNIT CONSULTATION SERVICE,,,,,,Misc,N/A,,
d1bff1ec-dc6b-49ef-8f29-e1478cb5fd48,,,PALLIATIVE CARE TRIAGE SERVICE,,,PALLIATIVE CARE TRIAGE SERVICE,,,,,,Misc,N/A,,
a533982e-1fad-4d59-9823-48fb6cdde533,,,PALLIATIVE CARE CONSULTATION SERVICE,,,PALLIATIVE CARE CONSULTATION SERVICE,,,,,,Misc,N/A,,
5c7b59cc-fc9e-44b4-932f-0d03aa744959,,,ICU TRIAGE SERVICE,,,ICU TRIAGE SERVICE,,,,,,Misc,N/A,,
f265a209-672e-4248-a788-734e6b6cc99e,,,ICU CONSULTATION SERVICE,,,ICU CONSULTATION SERVICE,,,,,,Misc,N/A,,
d26caec7-d0e1-46e4-8ee1-dec3248db229,,,HDU TRIAGE SERVICE,,,HDU TRIAGE SERVICE,,,,,,Misc,N/A,,
41aee482-2c24-41cc-95ae-825d8bf6d013,,,HDU CONSULTATION SERVICE,,,HDU CONSULTATION SERVICE,,,,,,Misc,N/A,,
a4904df5-b2da-4fb3-bd2d-b5cc8875d375,,,NICU/NBU TRIAGE SERVICE,,,NICU/NBU TRIAGE SERVICE,,,,,,Misc,N/A,,
641c11a2-164a-4b5e-b825-bc746d498a0b,,,NICU/NBU CONSULTATION SERVICE,,,NICU/NBU CONSULTATION SERVICE,,,,,,Misc,N/A,,
9029b938-3c9f-438d-a9bd-f9354703390a,,,PICU TRIAGE SERVICE,,,PICU TRIAGE SERVICE,,,,,,Misc,N/A,,
11bc5f14-ab7d-450e-8058-b7edf2a7bd7c,,,PICU CONSULTATION SERVICE,,,PICU CONSULTATION SERVICE,,,,,,Misc,N/A,,
277ee2bc-7b92-4975-bf7a-04c5cb576ad6,,,ICU BURNS UNIT TRIAGE SERVICE,,,ICU BURNS UNIT TRIAGE SERVICE,,,,,,Misc,N/A,,
9424c2a1-05d3-4ca2-ad88-8c87775e808c,,,ICU BURNS UNIT CONSULTATION SERVICE,,,ICU BURNS UNIT CONSULTATION SERVICE,,,,,,Misc,N/A,,
